JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,15948,22437,"1","0","0",
1,22734,24508,"0","0","1",
2,25440,28052,"0","0","1",
3,28089,41736,"1","0","0",
4,43093,51576,"1","0","0",
5,54924,59380,"1","0","0",
6,59686,70759,"1","0","0",
7,74162,78018,"0","0","1",
8,78043,79560,"0","0","1",
9,79601,81277,"0","0","1",
10,81974,87422,"0","1","0",
11,87982,91955,"1","0","0",
12,95687,100832,"1","0","0",
13,102225,104849,"0","0","1",
14,121812,148386,"0","0","1",
15,150656,161918,"0","0","1",
16,165973,169997,"1","0","0",
17,173610,184718,"1","0","0",
18,185948,191408,"0","0","1",
